site,longitude,latitude,row,col,sampled
1,172.35113491910576,-42.44907543275187,225.0,112.0,0
2,172.64501786625073,-42.61030474693263,1019.0,723.0,0
3,172.62204471712357,-42.41530221598816,970.0,0.0,0
4,172.2724344151703,-42.615859992607504,0.0,726.0,0
5,172.45755146899785,-42.5701576179366,509.0,565.0,2
6,172.49418220966086,-42.46621158574765,616.0,182.0,0
7,172.61837928235195,-42.51369531403495,953.0,364.0,1
8,172.27052505204506,-42.521862937296085,0.0,378.0,0
9,172.35369728592312,-42.56791968813178,225.0,552.0,0
10,172.5440267656444,-42.60846866126457,743.0,711.0,2
11,172.41151658862847,-42.506164056793075,387.0,326.0,1
12,172.26846141812845,-42.41976085591331,0.0,0.0,1
13,172.43141128380185,-42.41784164450826,447.0,0.0,1
14,172.527808542362,-42.52844717180943,704.0,414.0,1
15,172.57475868897467,-42.46351160847402,837.0,176.0,2
16,172.40371553397486,-42.61432648714524,359.0,726.0,0
17,172.53165182262165,-42.41654588607026,722.0,0.0,0
18,172.5956403920773,-42.567236811174205,887.0,561.0,0
19,172.33877425148916,-42.50244416066308,188.0,309.0,0
20,172.27569440996746,-42.47074325839033,17.0,189.0,0
21,172.64306675224333,-42.466334888515206,1024.0,190.0,0
22,172.28792264338085,-42.568677989537946,45.0,552.0,0
23,172.33788763183298,-42.61484407634938,179.0,725.0,0
24,172.48123588386866,-42.61335028878304,571.0,726.0,0
25,172.43281563585424,-42.46348308172068,448.0,169.0,0
26,172.47255296630652,-42.508637928359256,554.0,338.0,0
27,172.40627404785064,-42.54918521668022,370.0,485.0,0
28,172.51639351811804,-42.56993418887094,670.0,567.0,0
29,172.64524719326724,-42.54951477473987,1024.0,498.0,0
30,172.56438615317438,-42.50120706072949,806.0,315.0,0
