site,longitude,latitude,row,col,sampled
1,172.5750261213593,-42.51781164483284,834.0,377.0,0
2,172.26846141812848,-42.41976085591332,0.0,0.0,0
3,172.33606498473506,-42.615135514035316,174.0,726.0,0
4,172.4475682715138,-42.42277199312124,491.0,19.0,0
5,172.6384460325765,-42.415068913600656,1015.0,0.0,0
6,172.49476497880573,-42.6131745406182,608.0,726.0,0
7,172.35751332594614,-42.50789724935674,239.0,330.0,0
8,172.64501786625078,-42.61030474693264,1019.0,723.0,0
9,172.46472471782587,-42.533053351653884,531.0,428.0,0
10,172.2715258244621,-42.553191414851234,1.0,494.0,0
11,172.54580185874585,-42.44337298375658,759.0,100.0,0
12,172.3571251654491,-42.43927845728625,242.0,76.0,0
13,172.27345811352956,-42.486438072381084,10.0,247.0,0
14,172.41478732289838,-42.586363320424326,391.0,623.0,0
15,172.64339181621938,-42.47875794126118,1024.0,236.0,0
16,172.5685830644305,-42.581388859560064,812.0,612.0,0
17,172.64524719326727,-42.54951477473988,1024.0,498.0,0
18,172.42845421135078,-42.48028807994605,435.0,231.0,0
19,172.34917849776406,-42.56175915567595,213.0,529.0,0
20,172.51120222433715,-42.49111411483365,661.0,275.0,0
21,172.27235742503203,-42.61207853309718,0.0,712.0,0
22,172.52285635145577,-42.550126395306314,689.0,494.0,0
23,172.40312182833568,-42.538957510421504,362.0,447.0,0
24,172.60283793211735,-42.44853317418717,915.0,122.0,0
25,172.4894589128509,-42.451683890353884,604.0,128.0,0
26,172.47009570485724,-42.57513047200677,543.0,584.0,0
27,172.3037659406757,-42.45178547386264,95.0,120.0,0
28,172.30482644752632,-42.5203967828654,94.0,374.0,0
29,172.50941722249377,-42.41684087097056,661.0,0.0,0
30,172.4072458660072,-42.44596863115321,379.0,103.0,0
