site,longitude,latitude,row,col,sampled
1,172.5750261,-42.51781164,834,377,1
2,172.2684614,-42.41976086,0,0,1
3,172.336065,-42.61513551,174,726,1
4,172.4475683,-42.42277199,491,19,1
5,172.638446,-42.41506891,1015,0,1
6,172.494765,-42.61317454,608,726,0
7,172.3575133,-42.50789725,239,330,0
8,172.6450179,-42.61030475,1019,723,0
9,172.4647247,-42.53305335,531,428,2
10,172.2715258,-42.55319141,1,494,0
11,172.5458019,-42.44337298,759,100,0
12,172.3571252,-42.43927846,242,76,0
13,172.2734581,-42.48643807,10,247,1
14,172.4147873,-42.58636332,391,623,0
15,172.6433918,-42.47875794,1024,236,1
16,172.5685831,-42.58138886,812,612,0
17,172.6452472,-42.54951477,1024,498,0
18,172.4284542,-42.48028808,435,231,0
19,172.3491785,-42.56175916,213,529,0
20,172.5112022,-42.49111411,661,275,0
21,172.2723574,-42.61207853,0,712,1
22,172.5228564,-42.5501264,689,494,0
23,172.4031218,-42.53895751,362,447,0
24,172.6028379,-42.44853317,915,122,0
25,172.4894589,-42.45168389,604,128,0
26,172.4700957,-42.57513047,543,584,0
27,172.3037659,-42.45178547,95,120,0
28,172.3048264,-42.52039678,94,374,0
29,172.5094172,-42.41684087,661,0,0
30,172.4072459,-42.44596863,379,103,1
